Istanza,DMAX,Metodo,N.POI,Lunghezza percorso (km),Valore di soddisfazione (TOTALE),Tempo di esecuzione (s)
Bench102,50,Heuristic,10,47.90494,161,0.0
Bench102,50,Multistart,10,47.90494,161,137.827
Bench102,70,Heuristic,15,68.63022,220,0.0
Bench102,70,Multistart,15,68.63022,220,144.32
Bench32,20,G.A.,8,19.20467,60,2.67199
Bench32,50,G.A.,17,49.55133,140,10.17617
Bench32,70,G.A.,21,68.64283,185,13.6832
Bench52,20,G.A.,7,17.37802,125,2.22664
Bench52,50,G.A.,13,49.7015,206,6.14363
Bench52,70,G.A.,14,65.04336,268,7.09413
Bench102,20,G.A.,4,18.00779,30,1.87008
Bench102,50,G.A.,7,49.71365,122,3.27498
Bench102,70,G.A.,9,63.42017,152,4.38975
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.02,G.A.,12,0.02,34,5.61531
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.03,G.A.,17,0.02968,55,7.26095
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.04,G.A.,23,0.03993,76,13.66032
Scavi_Archeologici_Pompei_Marina_Misteri,0.02,G.A.,13,0.01925,45,5.4919
Scavi_Archeologici_Pompei_Marina_Misteri,0.03,G.A.,19,0.02948,60,11.61109
Scavi_Archeologici_Pompei_Marina_Misteri,0.04,G.A.,22,0.03992,70,13.16124
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.02,G.A.,17,0.0196,58,7.90045
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.03,G.A.,20,0.02945,61,7.73607
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.04,G.A.,26,0.03847,77,20.10366
